,Production,Withdrawals,GlobalPrice,ExchangeRate,TempMax,Precipitation
2024-09-01,124842.32567136409,702364.1830389814,0.18911068288751479,57.64777742673625,29.18832875961747,333.56110012910835
2024-10-01,915248.5894208711,1017521.6401028184,0.20159980494243382,57.94877725844421,29.388329068045323,294.43678289825414
2024-11-01,1107974.776069746,972946.2737354287,0.20264771688689537,57.60577665722457,29.588327484764896,85.84167286279732
2024-12-01,1698749.4420715477,1036543.4041972199,0.19445877072763224,57.353776252001914,29.188328422725608,64.23686044621903
2025-01-01,1661144.287516559,1225488.925456042,0.19670359819428343,57.42177600873538,28.8883273814804,5.5188336956124715
2025-02-01,2143056.6490084445,1116926.7745795173,0.1984851370180478,57.51477554937647,29.38832918289648,-44.20519288646358
2025-03-01,2469397.097935125,1155908.8193390155,0.19024503557823597,57.64077539848602,30.688329085677335,-50.98908893638347
2025-04-01,1697005.5557831018,1207636.30813662,0.1890804152772729,57.64877528610393,31.1883288218371,12.626925638120326
2025-05-01,1112902.170666688,1124094.628458987,0.18952921228947844,57.83777491943691,30.888328303721327,162.94737134841873
2025-06-01,614026.1406156236,927474.8795188118,0.19018249915210486,58.08077452801502,29.988328430586165,290.3565513310001
2025-07-01,288007.13884369656,1041904.3507119303,0.18943665669315574,58.45177426007176,28.98832806886943,378.60341610196815
2025-08-01,50739.10835662973,839704.0508042895,0.1885557017619044,58.54677385019928,29.288327102187523,280.14302671405966
2025-09-01,84324.34771425952,457063.5927788197,0.19336638452396562,59.00455125629744,29.274716898303062,316.9535959344342
2025-10-01,874730.6114637665,772221.0498426566,0.20585550657888466,59.305551088005394,29.47471720673092,277.82927870358
2025-11-01,1067456.7981126413,727645.6834752669,0.2069034185233462,58.96255048678576,29.67471562345049,69.23416866812316
2025-12-01,1658231.4641144434,791242.813937058,0.19871447236408307,58.7105500815631,29.2747165614112,47.629356251544834
2026-01-01,1620626.3095594544,980188.3351958802,0.2009592998307343,58.77854983829657,28.974715520165997,-11.08867049906172
2026-02-01,2102538.67105134,871626.1843193553,0.20274083865449866,58.87154937893766,29.474717321582073,-60.81269708113777
2026-03-01,2428879.119978021,910608.2290788537,0.19450073721468683,58.997549228047205,30.774717224362927,-67.59659313105766
2026-04-01,1656487.577825997,962335.7178764583,0.19333611691372377,59.00554911566511,31.274716960522696,-3.980578556553837
2026-05-01,1072384.1927095836,878794.0381988253,0.1937849139259293,59.194548748998095,30.97471644240692,146.33986715374454
2026-06-01,573508.1626585191,682174.28925865,0.19443820078855573,59.43754835757621,30.074716569271757,273.7490471363259
2026-07-01,247489.160886592,796603.7604517684,0.1936923583296066,59.80854808963294,29.07471620755502,361.995911907294
2026-08-01,10221.130399525282,594403.4605441277,0.19281140339835526,59.90354767976047,29.374715240873115,263.5355225193855
2026-09-01,43806.36975715496,211763.0025186579,0.1976220861604165,60.361325085858624,29.361105036988654,300.34609173976
2026-10-01,834212.6335066622,526920.4595824947,0.21011120821533552,60.662324917566586,29.56110534541651,261.2217745089058
2026-11-01,1026938.8201555368,482345.0932151051,0.21115912015979707,60.31932431634694,29.761103762136084,52.626664473448955
2026-12-01,1617713.4861573388,545942.2236768962,0.20297017400053394,60.06732391112429,29.361104700096792,31.021852056870642
2027-01-01,1580108.3316023499,734887.7449357184,0.20521500146718513,60.135323667857755,29.06110365885159,-27.696174693735898
2027-02-01,2062020.6930942354,626325.5940591935,0.2069965402909495,60.22832320849884,29.56110546026767,-77.42020127581196
2027-03-01,2388361.1420209166,665307.6388186918,0.19875643885113767,60.3543230576084,30.86110536304852,-84.20409732573185
2027-04-01,1615969.5998688927,717035.1276162965,0.1975918185501746,60.362322945226296,31.361105099208288,-20.58808275122803
2027-05-01,1031866.214752479,633493.4479386635,0.19804061556238015,60.55132257855929,31.061104581092515,129.73236295907034
2027-06-01,532990.1847014145,436873.69899848825,0.19869390242500656,60.794322187137396,30.16110470795735,257.1415429416517
2027-07-01,206971.18292948743,551303.1701916066,0.19794805996605744,61.165321919194135,29.161104346240613,345.3884077126198
2027-08-01,-30296.847557579167,349102.87028396584,0.1970671050348061,61.260321509321656,29.46110337955871,246.92801832471127
