Month,Production,Withdrawals,GlobalPrice,ExchangeRate,TempMax,Precipitation
2024-09-01,866630.4056756037,1547672.7730289323,0.18026586744700268,56.884276792564414,29.663059185038986,377.35289206349364
2024-10-01,1058314.1309356808,1294689.3989846322,0.17864719402027077,56.38079636691413,30.186568394757415,344.19608998566264
2024-11-01,1686063.0932767992,1344398.1630784078,0.17869534440533255,56.022560369810954,30.023452418368738,256.349606709908
2024-12-01,1852407.2959566182,1478889.8570500102,0.17996719462437238,55.77091689446281,29.254441879969324,164.4493520460922
2025-01-01,2196089.081064713,1243830.1657716194,0.18084552507574497,55.885552839050064,28.60546742216292,99.69444904984904
2025-02-01,1990321.7124480687,1368872.0217237922,0.1805053930877052,56.16442534166365,28.69990753396939,81.77050921694752
2025-03-01,1886639.3818348146,1447353.868994764,0.179589321737211,56.60208136005864,29.425055953166527,115.43260604230484
2025-04-01,1358794.4864847292,1223913.896420037,0.179190155576868,56.961341819736404,30.043407217235693,192.27298147502466
2025-05-01,1067038.6502061407,1401111.310625586,0.17960312692605432,57.130676537582694,29.931662447215267,291.2641986877207
2025-06-01,604585.6717153819,1412289.324430044,0.18020536751050462,57.065709405709235,29.202967669442568,386.45247888914696
2025-07-01,546052.2973481014,1218669.5883700403,0.18032304978851993,56.76144464597699,28.5890362463284,451.9262747945721
2025-08-01,482890.7581822885,1430387.9716318182,0.17994741360614772,56.39672512222436,28.703586594925266,470.72759332270255
2025-09-01,824626.7179700485,1373251.5091582274,0.17958718402680482,56.05467754836322,29.427851640972516,437.3891964494712
2025-10-01,1110180.2049917784,1226446.0705342307,0.17961509925108854,55.91902187897287,30.033037889093855,361.36462247994325
2025-11-01,1606706.625773066,1452791.1996845356,0.17991052022344503,55.98971249770005,29.91335265381568,262.508305483527
2025-12-01,1860633.1392089995,1332917.6916375838,0.18010174772366902,56.26204623799412,29.19221709955308,167.73954336050303
2026-01-01,2105366.7377810613,1245698.7924711509,0.18001354165826505,56.60896260466993,28.594988553446598,101.87047297364373
2026-02-01,1997051.9735551195,1465745.058406383,0.17980391343777027,56.89744488927706,28.719320548773087,82.95493865847658
2026-03-01,1828076.2632004223,1294473.0941611035,0.17972049857222416,57.028297066190156,29.437074271856247,115.50293016058981
2026-04-01,1400578.1001852176,1274141.977648493,0.17982070479142753,56.94190766716747,30.02627643015494,191.25936251462713
2026-05-01,1057561.1552742475,1467783.2512794011,0.17995656277856675,56.6987713946575,29.897313110041743,289.45533368098563
2026-06-01,677208.439669827,1261087.2549718043,0.1799777257013131,56.378139776545694,29.182932606406627,384.3328126890172
2026-07-01,558993.8461510635,1308827.8006830732,0.1798891123749292,56.12228421826823,28.6016820532603,450.0663760284216
2026-08-01,546959.0859408337,1458579.9876139353,0.1798091769919292,56.01333382307544,28.73518294782642,469.6210196141973
2026-09-01,816157.7543552853,1235554.4682173745,0.1798193911909455,56.09528600747648,29.446156068841482,437.3339062796595
2026-10-01,1131239.7884221037,1346363.5075374134,0.17988783781167103,56.326375969859946,30.01950585005917,362.3711454967148
2026-11-01,1558823.8201729232,1438921.4911267776,0.17992928010929277,56.61181604031957,29.88154717024837,264.3098606827454
2026-12-01,1843626.7268123445,1220001.4511067034,0.17990678307925612,56.844788856033034,29.17400751442433,169.85101481188616
2027-01-01,2042706.6072534584,1383189.4611058156,0.17985892011704008,56.93247663864564,28.608503591565874,103.73076419590635
2027-02-01,1981214.7000892796,1410594.283501763,0.1798416765286871,56.85367134894097,28.750838772751045,84.06435573501801
2027-03-01,1792409.251747363,1215673.3429610517,0.17986585247834813,56.638457027395496,29.454918434438873,115.56910513572686
2027-04-01,1420514.8040700036,1415882.5938970717,0.17989642761370675,56.37934063676773,30.012630790703838,190.26259496537176
2027-05-01,1065879.1190919622,1376194.1194305443,0.17989994885333954,56.17311009626469,29.86599930041867,287.6660733470583
2027-06-01,729174.896992792,1222811.271196725,0.1798791129201789,56.09839189269804,29.16540519020011,382.22662954763166
2027-07-01,586842.3689730474,1441452.7649451422,0.1798614294604694,56.17820560579705,28.615429950919193,448.209216389042
2027-08-01,593544.0412915176,1338869.7787051543,0.17986463127475644,56.375377672636674,28.766278214284007,468.5054956830463
